participant_id,timestamp,index,operand_a,operand_b,shown_sum,is_correct_equation,responded_correct,hit,rt
GPTC001,2026-08-11T19:35:41.722,69,42,27,69,1,1,1,0.0475
GPTC001,2026-08-11T19:35:42.276,70,89,33,125,0,1,0,0.1008
GPTC001,2026-08-11T19:35:42.772,71,47,57,104,1,1,1,0.0487
GPTC001,2026-08-11T19:35:43.339,72,32,77,118,0,1,0,0.1099
GPTC001,2026-08-11T19:35:43.871,73,86,26,112,1,1,1,0.0875
GPTC001,2026-08-11T19:35:44.421,74,66,66,141,0,1,0,0.1079
GPTC001,2026-08-11T19:35:45.005,75,50,71,121,1,1,1,0.1229
GPTC001,2026-08-11T19:35:45.572,76,82,56,141,0,1,0,0.103
GPTC001,2026-08-11T19:35:46.155,77,63,40,96,0,1,0,0.1245
GPTC001,2026-08-11T19:35:46.738,78,50,52,99,0,1,0,0.1446
GPTC001,2026-08-11T19:35:47.338,79,53,67,111,0,1,0,0.1312
GPTC001,2026-08-11T19:35:47.926,80,13,42,55,1,1,1,0.1421
GPTC001,2026-08-11T19:35:48.539,81,48,52,100,1,1,1,0.1726
GPTC001,2026-08-11T19:35:49.155,82,45,60,105,1,1,1,0.1562
GPTC001,2026-08-11T19:35:49.788,83,56,88,144,1,1,1,0.1689
GPTC001,2026-08-11T19:35:50.388,84,87,23,110,1,1,1,0.1419
GPTC001,2026-08-11T19:35:50.955,85,44,76,120,1,1,1,0.1024
GPTC001,2026-08-11T19:35:51.508,86,28,23,48,0,1,0,0.0935
GPTC001,2026-08-11T19:35:52.072,87,54,59,113,1,1,1,0.1189
GPTC001,2026-08-11T19:35:52.638,88,51,45,96,1,1,1,0.1271
GPTC001,2026-08-11T19:35:53.222,89,86,34,120,1,1,1,0.1419
GPTC001,2026-08-11T19:35:53.806,90,29,37,63,0,1,0,0.1369
GPTC001,2026-08-11T19:35:54.372,91,77,28,105,1,1,1,0.1247
GPTC001,2026-08-11T19:35:54.939,92,44,53,97,1,1,1,0.105
GPTC001,2026-08-11T19:35:55.505,93,62,17,79,1,1,1,0.1219
GPTC001,2026-08-11T19:35:56.088,94,14,38,52,1,1,1,0.1176
GPTC001,2026-08-11T19:35:56.638,95,19,68,87,1,1,1,0.1079
GPTC001,2026-08-11T19:35:57.238,96,39,79,118,1,1,1,0.1592
GPTC001,2026-08-11T19:35:57.805,97,59,47,106,1,1,1,0.1107
GPTC001,2026-08-11T19:35:58.372,98,17,89,106,1,1,1,0.107
GPTC001,2026-08-11T19:35:58.922,99,11,63,74,1,1,1,0.0929
GPTC001,2026-08-11T19:35:59.527,100,64,52,116,1,1,1,0.1388
GPTC001,2026-08-11T19:36:00.041,101,44,64,105,0,1,0,0.0647
GPTC001,2026-08-11T19:36:00.688,102,29,63,95,0,1,0,0.1829
GPTC001,2026-08-11T19:36:01.239,103,87,58,145,1,1,1,0.1096
GPTC001,2026-08-11T19:36:01.773,104,37,66,110,0,1,0,0.067
GPTC001,2026-08-11T19:36:02.372,105,31,13,35,0,1,0,0.1336
GPTC001,2026-08-11T19:36:02.956,106,58,87,148,0,1,0,0.1173
GPTC001,2026-08-11T19:36:03.556,107,70,22,95,0,1,0,0.1341
GPTC001,2026-08-11T19:36:04.156,108,76,23,99,1,1,1,0.1543
GPTC001,2026-08-11T19:36:04.758,109,54,21,68,0,1,0,0.1559
GPTC001,2026-08-11T19:36:05.355,110,46,66,109,0,1,0,0.1579
GPTC001,2026-08-11T19:36:05.939,111,39,54,93,1,1,1,0.1252
GPTC001,2026-08-11T19:36:06.506,112,41,73,114,1,1,1,0.1031
GPTC001,2026-08-11T19:36:07.106,113,49,32,72,0,1,0,0.131
GPTC001,2026-08-11T19:36:07.707,114,83,24,100,0,1,0,0.1344
GPTC001,2026-08-11T19:36:08.306,115,62,46,105,0,1,0,0.1318
GPTC001,2026-08-11T19:36:08.873,116,76,38,114,1,1,1,0.1041
GPTC001,2026-08-11T19:36:09.439,117,17,16,30,0,1,0,0.1079
GPTC001,2026-08-11T19:36:10.022,118,71,74,152,0,1,0,0.1429
GPTC001,2026-08-11T19:36:10.640,119,89,49,138,1,1,1,0.1569
GPTC001,2026-08-11T19:36:11.206,120,88,40,131,0,1,0,0.0987
GPTC001,2026-08-11T19:36:11.790,121,35,27,62,1,1,1,0.1164
GPTC001,2026-08-11T19:36:12.373,122,49,82,131,1,1,1,0.1267
GPTC001,2026-08-11T19:36:12.958,123,68,79,147,1,1,1,0.1155
GPTC001,2026-08-11T19:36:13.472,124,57,19,76,1,1,1,0.072
GPTC001,2026-08-11T19:36:14.073,125,77,64,141,1,1,1,0.1608
GPTC001,2026-08-11T19:36:14.640,126,51,84,138,0,1,0,0.1061
GPTC001,2026-08-11T19:36:15.240,127,32,68,109,0,1,0,0.1341
GPTC001,2026-08-11T19:36:15.875,128,62,27,89,1,1,1,0.1649
GPTC001,2026-08-11T19:36:16.423,129,23,61,84,1,1,1,0.0786
GPTC001,2026-08-11T19:36:16.991,130,39,29,61,0,1,0,0.1071
GPTC001,2026-08-11T19:36:17.556,131,67,39,113,0,1,0,0.1137
GPTC001,2026-08-11T19:36:18.209,132,88,54,149,0,1,0,0.207
GPTC001,2026-08-11T19:36:18.823,133,68,33,98,0,1,0,0.156
GPTC001,2026-08-11T19:36:19.424,134,74,78,155,0,1,0,0.1418
GPTC001,2026-08-11T19:36:19.889,135,32,38,63,0,1,0,0.0058
GPTC001,2026-08-11T19:36:20.526,136,19,37,47,0,1,0,0.1633
GPTC001,2026-08-11T19:36:21.057,137,87,57,151,0,1,0,0.0784
GPTC001,2026-08-11T19:36:21.623,138,57,18,68,0,1,0,0.0988
GPTC001,2026-08-11T19:36:22.206,139,48,18,59,0,1,0,0.1413
GPTC001,2026-08-11T19:36:22.774,140,70,23,100,0,1,0,0.1221
GPTC001,2026-08-11T19:36:23.245,141,58,61,119,1,1,1,0.0074
GPTC001,2026-08-11T19:36:23.773,142,75,56,138,0,1,0,0.0611
GPTC001,2026-08-11T19:36:24.357,143,82,86,175,0,1,0,0.1187
GPTC001,2026-08-11T19:36:24.995,144,72,72,135,0,1,0,0.1848
GPTC001,2026-08-11T19:36:25.591,145,60,71,122,0,1,0,0.1351
GPTC001,2026-08-11T19:36:26.275,146,89,26,115,1,1,1,0.229
GPTC001,2026-08-11T19:36:26.924,147,57,32,92,0,1,0,0.2031
GPTC001,2026-08-11T19:36:27.391,148,43,57,100,1,1,1,0.0081
GPTC001,2026-08-11T19:36:28.024,149,81,89,179,0,1,0,0.1719
GPTC001,2026-08-11T19:36:28.508,150,48,50,98,1,1,1,0.011
GPTC001,2026-08-11T19:36:29.075,151,53,41,94,1,1,1,0.0961
GPTC001,2026-08-11T19:36:29.691,152,23,86,116,0,1,0,0.1667
GPTC001,2026-08-11T19:36:30.325,153,58,41,99,1,1,1,0.1851
GPTC001,2026-08-11T19:36:30.957,154,85,13,98,1,1,1,0.1911
GPTC001,2026-08-11T19:36:31.425,155,58,46,104,1,1,1,0.0072
GPTC001,2026-08-11T19:36:31.991,156,71,89,151,0,1,0,0.0955
GPTC001,2026-08-11T19:36:32.525,157,76,14,90,1,1,1,0.0771
GPTC001,2026-08-11T19:36:32.990,158,61,77,131,0,1,0,0.0098
GPTC001,2026-08-11T19:36:33.675,159,65,80,152,0,1,0,0.2213
GPTC001,2026-08-11T19:36:34.390,160,17,48,62,0,1,0,0.2649
GPTC001,2026-08-11T19:36:34.856,161,83,52,132,0,1,0,0.0099
GPTC001,2026-08-11T19:36:35.424,162,52,15,58,0,1,0,0.1115
GPTC001,2026-08-11T19:36:35.874,163,23,69,92,1,1,1,0.0064
GPTC001,2026-08-11T19:36:36.441,164,60,18,81,0,1,0,0.1064
GPTC001,2026-08-11T19:36:37.010,165,21,59,80,1,1,1,0.1164
GPTC001,2026-08-11T19:36:37.549,166,74,24,101,0,1,0,0.0806
GPTC001,2026-08-11T19:36:38.091,167,54,86,140,1,1,1,0.0805
GPTC001,2026-08-11T19:36:38.625,168,12,59,80,0,1,0,0.0697
GPTC001,2026-08-11T19:36:39.124,169,11,23,27,0,1,0,0.041
GPTC001,2026-08-11T19:36:39.708,170,27,65,92,1,1,1,0.1213
GPTC001,2026-08-11T19:36:40.258,171,34,57,88,0,1,0,0.1017
GPTC001,2026-08-11T19:36:40.840,172,54,52,106,1,1,1,0.1221
GPTC001,2026-08-11T19:36:41.425,173,89,57,143,0,1,0,0.1229
GPTC001,2026-08-11T19:36:42.042,174,55,17,72,1,1,1,0.1566
GPTC001,2026-08-11T19:36:42.658,175,14,71,85,1,1,1,0.159
GPTC001,2026-08-11T19:36:43.241,176,15,80,95,1,1,1,0.1226
GPTC001,2026-08-11T19:36:43.825,177,76,63,136,0,1,0,0.1399
GPTC001,2026-08-11T19:36:44.408,178,44,46,90,1,1,1,0.1427
GPTC001,2026-08-11T19:36:45.008,179,15,31,53,0,1,0,0.1375
GPTC001,2026-08-11T19:36:45.558,180,68,30,89,0,1,0,0.0948
GPTC001,2026-08-11T19:36:46.141,181,73,14,80,0,1,0,0.1109
GPTC001,2026-08-11T19:36:46.647,182,13,16,20,0,1,0,0.0457
GPTC001,2026-08-11T19:36:47.198,183,89,55,144,1,1,1,0.104
GPTC001,2026-08-11T19:36:47.841,184,21,44,65,1,1,1,0.1781
GPTC001,2026-08-11T19:36:48.375,185,62,84,149,0,1,0,0.0965
GPTC001,2026-08-11T19:36:48.892,186,12,55,60,0,1,0,0.0757
GPTC001,2026-08-11T19:36:49.575,187,54,49,112,0,0,1,0.2205
GPTC001,2026-08-11T19:36:50.092,188,79,73,152,1,0,0,0.0765
GPTC001,2026-08-11T19:36:50.627,189,35,61,96,1,0,0,0.0687
GPTC001,2026-08-11T19:36:51.162,190,30,40,79,0,0,1,0.0778
GPTC001,2026-08-11T19:36:51.694,191,74,42,119,0,0,1,0.0868
GPTC001,2026-08-11T19:36:52.261,192,13,77,90,1,0,0,0.1025
GPTC001,2026-08-11T19:36:52.841,193,63,76,130,0,0,1,0.1225
GPTC001,2026-08-11T19:36:53.578,194,65,35,100,1,0,0,0.2924
GPTC001,2026-08-11T19:36:54.159,195,37,29,66,1,0,0,0.1114
GPTC001,2026-08-11T19:36:54.708,196,74,80,154,1,0,0,0.0782
GPTC001,2026-08-11T19:36:55.276,197,47,17,64,1,0,0,0.1082
GPTC001,2026-08-11T19:36:55.859,198,80,40,127,0,0,1,0.1414
GPTC001,2026-08-11T19:36:56.425,199,36,72,115,0,0,1,0.1164
GPTC001,2026-08-11T19:36:57.158,200,17,20,37,1,0,0,0.2877
GPTC001,2026-08-11T19:36:57.729,201,17,68,85,1,0,0,0.1269
GPTC001,2026-08-11T19:36:58.375,202,33,25,58,1,0,0,0.1853
GPTC001,2026-08-11T19:36:58.992,203,45,75,127,0,0,1,0.1545
GPTC001,2026-08-11T19:36:59.592,204,42,51,93,1,0,0,0.1312
GPTC001,2026-08-11T19:37:00.159,205,85,49,134,1,0,0,0.092
GPTC001,2026-08-11T19:37:00.727,206,13,56,69,1,0,0,0.1208
GPTC001,2026-08-11T19:37:01.593,207,12,65,70,0,0,1,0.4154
GPTC001,2026-08-11T19:37:02.226,208,13,37,47,0,0,1,0.19
GPTC001,2026-08-11T19:37:02.842,209,28,49,74,0,0,1,0.1602
GPTC001,2026-08-11T19:37:03.393,210,28,30,49,0,0,1,0.0934
GPTC001,2026-08-11T19:37:04.092,211,71,31,102,1,0,0,0.2391
GPTC001,2026-08-11T19:37:04.709,212,29,22,51,1,0,0,0.1775
GPTC001,2026-08-11T19:37:05.275,213,30,66,96,1,0,0,0.1304
GPTC001,2026-08-11T19:37:05.859,214,88,56,137,0,0,1,0.148
GPTC001,2026-08-11T19:37:06.609,215,74,55,126,0,0,1,0.3137
GPTC001,2026-08-11T19:37:07.126,216,50,65,115,1,0,0,0.0668
GPTC001,2026-08-11T19:37:07.644,217,30,45,82,0,0,1,0.0806
GPTC001,2026-08-11T19:37:08.176,218,89,14,100,0,0,1,0.0964
GPTC001,2026-08-11T19:37:08.726,219,62,17,79,1,0,0,0.108
GPTC001,2026-08-11T19:37:09.326,220,71,53,124,1,0,0,0.1345
GPTC001,2026-08-11T19:37:09.943,221,83,59,135,0,0,1,0.1605
GPTC001,2026-08-11T19:37:10.460,222,34,43,80,0,0,1,0.07
GPTC001,2026-08-11T19:37:11.726,223,58,77,135,1,0,0,0.8252
GPTC001,2026-08-11T19:37:12.309,224,67,31,98,1,0,0,0.1384
GPTC001,2026-08-11T19:37:12.858,225,21,54,75,1,0,0,0.1025
GPTC001,2026-08-11T19:37:13.426,226,38,36,83,0,0,1,0.1305
GPTC001,2026-08-11T19:37:14.010,227,24,87,120,0,0,1,0.1404
GPTC001,2026-08-11T19:37:14.593,228,58,43,98,0,0,1,0.1354
GPTC001,2026-08-11T19:37:15.195,229,28,56,84,1,0,0,0.1516
GPTC001,2026-08-11T19:37:15.726,230,68,87,155,1,0,0,0.0931
GPTC001,2026-08-11T19:37:16.646,231,63,85,148,1,0,0,0.4645
GPTC001,2026-08-11T19:37:17.260,232,42,12,63,0,0,1,0.1525
GPTC001,2026-08-11T19:37:17.865,233,19,79,98,1,0,0,0.1463
GPTC001,2026-08-11T19:37:18.493,234,65,74,139,1,0,0,0.1658
GPTC001,2026-08-11T19:37:19.093,235,43,83,129,0,0,1,0.1548
GPTC001,2026-08-11T19:37:19.676,236,61,79,140,1,0,0,0.1392
GPTC001,2026-08-11T19:37:20.281,237,37,38,75,1,0,0,0.1456
GPTC001,2026-08-11T19:37:20.844,238,55,82,137,1,0,0,0.0925
GPTC001,2026-08-11T19:37:21.380,239,16,33,56,0,0,1,0.0874
GPTC001,2026-08-11T19:37:22.010,240,60,31,88,0,0,1,0.1783
GPTC001,2026-08-11T19:37:22.477,241,43,51,87,0,0,1,0.006
GPTC001,2026-08-11T19:37:23.094,242,49,18,67,1,0,0,0.1527
GPTC001,2026-08-11T19:37:23.694,243,21,17,31,0,0,1,0.1532
GPTC001,2026-08-11T19:37:24.266,244,51,30,81,1,0,0,0.1226
GPTC001,2026-08-11T19:37:24.827,245,11,58,78,0,0,1,0.0898
GPTC001,2026-08-11T19:37:25.413,246,62,39,101,1,0,0,0.1136
GPTC001,2026-08-11T19:37:25.976,247,42,73,115,1,0,0,0.0989
GPTC001,2026-08-11T19:37:26.760,248,15,89,107,0,0,1,0.3316
GPTC001,2026-08-11T19:37:27.377,249,36,63,99,1,0,0,0.1519
GPTC001,2026-08-11T19:37:28.043,250,79,68,144,0,0,1,0.226
GPTC001,2026-08-11T19:37:28.593,251,33,30,63,1,0,0,0.0928
GPTC001,2026-08-11T19:37:29.728,252,47,27,74,1,0,0,0.6688
GPTC001,2026-08-11T19:37:30.295,253,56,77,126,0,0,1,0.0998
GPTC001,2026-08-11T19:37:30.912,254,70,51,128,0,0,1,0.1687
GPTC001,2026-08-11T19:37:31.427,255,45,15,53,0,0,1,0.0439
GPTC001,2026-08-11T19:37:31.960,256,16,42,58,1,0,0,0.0907
GPTC001,2026-08-11T19:37:32.545,257,89,13,105,0,0,1,0.1401
GPTC001,2026-08-11T19:37:33.145,258,33,28,61,1,0,0,0.1602
GPTC001,2026-08-11T19:37:33.728,259,85,24,109,1,0,0,0.1103
GPTC001,2026-08-11T19:37:34.444,260,36,42,75,0,0,1,0.2662
GPTC001,2026-08-11T19:37:35.011,261,88,62,150,1,0,0,0.0999
GPTC001,2026-08-11T19:37:35.627,262,57,85,142,1,0,0,0.1495
GPTC001,2026-08-11T19:37:36.077,263,17,11,28,1,0,0,0.0072
GPTC001,2026-08-11T19:37:36.560,264,44,86,130,1,0,0,0.0442
GPTC001,2026-08-11T19:37:37.011,265,75,36,111,1,0,0,0.006
GPTC001,2026-08-11T19:37:37.636,266,46,26,79,0,0,1,0.1711
GPTC001,2026-08-11T19:37:38.278,267,26,17,43,1,0,0,0.1771
GPTC001,2026-08-11T19:37:38.829,268,83,36,112,0,0,1,0.0832
GPTC001,2026-08-11T19:37:39.384,269,81,39,111,0,0,1,0.0832
GPTC001,2026-08-11T19:37:39.928,270,65,30,95,1,0,0,0.0732
GPTC001,2026-08-11T19:37:40.461,271,36,54,90,1,0,0,0.0935
GPTC001,2026-08-11T19:37:41.011,272,36,75,108,0,0,1,0.1004
GPTC001,2026-08-11T19:37:41.648,273,20,80,100,1,0,0,0.1778
GPTC001,2026-08-11T19:37:42.381,274,34,39,73,1,0,0,0.2601
GPTC001,2026-08-11T19:37:43.045,275,67,20,96,0,0,1,0.2152
GPTC001,2026-08-11T19:37:43.612,276,86,12,101,0,0,1,0.0986
GPTC001,2026-08-11T19:37:44.201,277,64,49,113,1,0,0,0.112
GPTC001,2026-08-11T19:37:44.829,278,73,84,157,1,0,0,0.1844
GPTC001,2026-08-11T19:37:45.381,279,57,20,77,1,0,0,0.1062
GPTC001,2026-08-11T19:37:45.929,280,13,19,32,1,0,0,0.0873
GPTC001,2026-08-11T19:37:46.602,281,15,75,83,0,0,1,0.1999
GPTC001,2026-08-11T19:37:47.211,282,29,71,100,1,0,0,0.1423
GPTC001,2026-08-11T19:37:47.729,283,60,59,119,1,0,0,0.0553
GPTC001,2026-08-11T19:37:48.245,284,69,57,126,1,0,0,0.076
GPTC001,2026-08-11T19:37:48.795,285,72,43,115,1,0,0,0.0925
GPTC001,2026-08-11T19:37:49.296,286,85,27,112,1,0,0,0.0611
GPTC001,2026-08-11T19:37:49.962,287,64,75,139,1,0,0,0.2091
GPTC001,2026-08-11T19:37:50.511,288,43,82,128,0,0,1,0.088
GPTC001,2026-08-11T19:37:51.062,289,67,78,145,1,0,0,0.077
GPTC001,2026-08-11T19:37:51.662,290,67,26,96,0,0,1,0.1538
GPTC001,2026-08-11T19:37:52.217,291,56,73,138,0,0,1,0.0953
GPTC001,2026-08-11T19:37:52.728,292,34,22,59,0,0,1,0.0629
GPTC001,2026-08-11T19:37:53.278,293,15,24,30,0,0,1,0.1082
GPTC001,2026-08-11T19:37:53.779,294,55,19,77,0,0,1,0.0591
GPTC001,2026-08-11T19:37:54.328,295,71,71,139,0,0,1,0.0814
GPTC001,2026-08-11T19:37:54.896,296,77,61,138,1,0,0,0.1134
GPTC001,2026-08-11T19:37:55.481,297,68,52,120,1,0,0,0.111
GPTC001,2026-08-11T19:37:55.999,298,84,15,99,1,0,0,0.0517
GPTC001,2026-08-11T19:37:56.545,299,55,21,76,1,0,0,0.084
GPTC001,2026-08-11T19:37:57.078,300,54,51,105,1,0,0,0.0824
GPTC001,2026-08-11T19:37:57.645,301,29,23,52,1,0,0,0.1216
GPTC001,2026-08-11T19:37:58.195,302,23,72,95,1,0,0,0.109
GPTC001,2026-08-11T19:37:58.729,303,12,30,42,1,0,0,0.0759
GPTC001,2026-08-11T19:37:59.312,304,11,23,34,1,0,0,0.1211
GPTC001,2026-08-11T19:37:59.895,305,85,35,120,1,0,0,0.1253
GPTC001,2026-08-11T19:38:00.445,306,31,21,52,1,0,0,0.1019
GPTC001,2026-08-11T19:38:01.029,307,30,15,48,0,0,1,0.1132
GPTC001,2026-08-11T19:38:01.729,308,24,11,32,0,0,1,0.2444
GPTC001,2026-08-11T19:38:02.279,309,72,40,112,1,0,0,0.1055
GPTC001,2026-08-11T19:38:02.846,310,23,87,110,1,0,0,0.108
GPTC001,2026-08-11T19:38:03.412,311,14,36,41,0,0,1,0.097
GPTC001,2026-08-11T19:38:03.946,312,22,73,92,0,0,1,0.0794
GPTC001,2026-08-11T19:38:04.530,313,22,72,101,0,0,1,0.1198
GPTC001,2026-08-11T19:38:05.112,314,42,18,57,0,0,1,0.1332
GPTC001,2026-08-11T19:38:05.712,315,56,33,98,0,0,1,0.1322
GPTC001,2026-08-11T19:38:06.317,316,19,52,71,1,0,0,0.1573
GPTC001,2026-08-11T19:38:06.963,317,20,44,55,0,0,1,0.2038
GPTC001,2026-08-11T19:38:07.579,318,77,80,148,0,0,1,0.1598
GPTC001,2026-08-11T19:38:08.213,319,66,64,130,1,0,0,0.1747
GPTC001,2026-08-11T19:38:08.813,320,79,81,160,1,0,0,0.1385
GPTC001,2026-08-11T19:38:09.446,321,70,32,111,0,0,1,0.1823
GPTC001,2026-08-11T19:38:09.913,322,31,74,105,1,0,0,0.0054
GPTC001,2026-08-11T19:38:10.479,323,74,43,114,0,0,1,0.1266
GPTC001,2026-08-11T19:38:11.047,324,76,60,136,1,0,0,0.1231
GPTC001,2026-08-11T19:38:11.596,325,35,83,118,1,0,0,0.0764
GPTC001,2026-08-11T19:38:12.167,326,84,13,104,0,0,1,0.0952
GPTC001,2026-08-11T19:38:12.731,327,47,65,112,1,0,0,0.095
GPTC001,2026-08-11T19:38:13.302,328,53,17,70,1,0,0,0.1001
GPTC001,2026-08-11T19:38:13.863,329,34,35,69,1,0,0,0.0921
GPTC001,2026-08-11T19:38:14.445,330,58,44,99,0,0,1,0.137
GPTC001,2026-08-11T19:38:15.046,331,19,67,86,1,0,0,0.1453
GPTC001,2026-08-11T19:38:15.631,332,33,64,97,1,0,0,0.1278
GPTC001,2026-08-11T19:38:16.180,333,78,42,120,1,0,0,0.0861
GPTC001,2026-08-11T19:38:17.063,334,29,15,47,0,1,0,0.4284
GPTC001,2026-08-11T19:38:17.579,335,12,87,106,0,1,0,0.063
GPTC001,2026-08-11T19:38:18.047,336,65,88,156,0,0,1,0.0058
GPTC001,2026-08-11T19:38:18.580,337,56,16,79,0,0,1,0.0851
GPTC001,2026-08-11T19:38:19.047,338,56,42,98,1,0,0,0.0076
GPTC001,2026-08-11T19:38:19.614,339,16,44,69,0,0,1,0.123
GPTC001,2026-08-11T19:38:20.147,340,89,83,172,1,0,0,0.0699
GPTC001,2026-08-11T19:38:20.716,341,85,62,147,1,0,0,0.1015
GPTC001,2026-08-11T19:38:21.230,342,12,67,79,1,0,0,0.043
GPTC001,2026-08-11T19:38:21.763,343,12,85,106,0,0,1,0.0674
GPTC001,2026-08-11T19:38:22.334,344,82,70,159,0,0,1,0.1035
GPTC001,2026-08-11T19:38:22.847,345,28,31,59,1,0,0,0.0701
GPTC001,2026-08-11T19:38:23.429,346,65,20,85,1,0,0,0.1364
GPTC001,2026-08-11T19:38:24.015,347,51,16,64,0,0,1,0.131
GPTC001,2026-08-11T19:38:24.647,348,89,85,165,0,0,1,0.1897
