thisRow.t,notes,TrialNumber,block,set_key,category_code,category_kr,set_id,source_code,source_label,repetition,price,rec_position,rec_brand,rec_detail,rec_detail_type,Candidates,Details,DetailTypes,N_UT,N_HE,ExtraLines,fix1.started,fix1.dur,info.started,info.stopped,InfoAccept,InfoAccept_RT,fix2.started,fix2.dur,decision.started,decision.stopped,PurchaseChoice,PurchaseChoice_bin,PurchaseChoice_RT,PurchaseIntent,PurchaseIntent_RT,participant,age,sex,excluded,date,
,,1,practice,bt_speaker_s3,bt_speaker,블루투스 스피커,3,practice,[예시 정보원],1,44000,1,osOj,전원만 켜면 잡히는 자동 연결,UT,osOj | qcdmg | GjYm,전원만 켜면 잡히는 자동 연결 | 저음이 두껍게 깔리는 소리 | 완충 24시간 재생,UT | HE | UT,2,1,손에 감기는 원통 형태 | 네 가지 색상 구성,5.777970399998594,1.205,6.998496499960311,12.015409499988891,5,1.0051,13.284776699962094,0.515,13.817429999995511,17.831158699991647,구매한다,1,1.2461,7,1.3886,DEMO01,23,여,bt_speaker|windbreaker,2026-08-11_21h54.39,
,,10,main,keyboard_s3,keyboard,저소음 무선 키보드,3,gpt,[ChatGPT],2,41000,1,FTtDE,윈도우와 맥 양쪽 지원,UT,FTtDE | nYXjX | Wvuw,윈도우와 맥 양쪽 지원 | 도서관에서도 눈치 안 보이는 타건음 | 두 가지 색을 섞은 키캡,UT | HE | HE,1,2,손목이 편한 낮은 경사 | 건전지 하나로 12개월,174.10359119996428,1.254,175.35803569998825,180.37233439995907,4,0.8613,181.3656547999708,1.263,182.64112970000133,186.70684709999477,구매하지 않는다,0,1.1313,4,0.7939,DEMO01,23,여,bt_speaker|windbreaker,2026-08-11_21h54.39,
,,11,main,toothbrush_s1,toothbrush,전동 칫솔,1,ad,[광고],1,35000,3,AfPM,분당 31000회 진동,UT,cvHob | ytdEj | AfPM,손에 감기는 굴곡 손잡이 | 세기 5단계 조절 | 분당 31000회 진동,HE | UT | UT,2,1,잇몸을 부드럽게 훑는 미세모 | 칫솔모 3개월치 동봉,188.78635070001474,1.367,190.16103209997527,195.19158559996868,7,1.3758,196.7314572999603,0.719,197.4601082999725,201.50580549996812,구매하지 않는다,0,1.2499,4,0.8276,DEMO01,23,여,bt_speaker|windbreaker,2026-08-11_21h54.39,
,,12,main,backpack_s3,backpack,백팩,3,expert,[전문가],2,47000,3,OnbK,어깨를 파고들지 않는 넓은 끈,HE,bIfY | gkGbB | OnbK,정장에도 어울리는 형태 | 1박 짐까지 들어가는 28L | 어깨를 파고들지 않는 넓은 끈,HE | UT | HE,1,2,생활 방수 원단 | 노트북 전용 칸,203.76807789999293,1.161,204.94361199997365,209.95974650001153,4,0.6933,210.85726309998427,0.741,211.61271859996486,215.6254362000036,구매한다,1,1.0653,1,1.1929,DEMO01,23,여,bt_speaker|windbreaker,2026-08-11_21h54.39,
,,13,main,laptop_stand_s2,laptop_stand,노트북 거치대,2,search,[검색엔진],2,37000,1,FIPY,책상에 어울리는 무광 마감,HE,FIPY | SRKeC | vHNp,책상에 어울리는 무광 마감 | 눈높이까지 올라가는 6단 조절 | 두 가지 색상 구성,HE | UT | HE,1,2,접었을 때 손바닥만 한 두께 | 4kg까지 흔들리지 않는 지지,218.0031170999864,0.839,218.88251249998575,223.9232050999999,1,1.5144,225.62041889998363,0.969,226.5941289999755,230.65212549996795,구매하지 않는다,0,1.0386,1,1.6934,DEMO01,23,여,bt_speaker|windbreaker,2026-08-11_21h54.39,
,,14,main,backpack_s1,backpack,백팩,1,ad,[광고],2,44000,1,BtdAY,정장에도 어울리는 형태,HE,BtdAY | geVK | XAcey,정장에도 어울리는 형태 | 어깨를 파고들지 않는 넓은 끈 | 노트북 전용 칸,HE | HE | UT,1,2,네 가지 색상 구성 | 생활 방수 원단,233.48661829996854,0.588,234.07783789996756,239.09465829998953,4,0.8585,240.09630759997526,1.101,241.21193699998548,245.24605449999217,구매한다,1,1.3949,3,0.8423,DEMO01,23,여,bt_speaker|windbreaker,2026-08-11_21h54.39,
,,15,main,toothbrush_s3,toothbrush,전동 칫솔,3,expert,[전문가],2,35000,1,OcLI,손에 감기는 굴곡 손잡이,HE,OcLI | hsrAW | dHtG,손에 감기는 굴곡 손잡이 | 분당 31000회 진동 | 세기 5단계 조절,HE | UT | UT,2,1,잇몸을 부드럽게 훑는 미세모 | 물때가 덜 보이는 무광 마감,247.5993371999939,1.147,248.76176490000216,253.7656030000071,4,0.9074,254.7969895999995,1.468,256.31768859998556,260.3279611999751,구매하지 않는다,0,1.155,5,0.8478,DEMO01,23,여,bt_speaker|windbreaker,2026-08-11_21h54.39,
,,16,main,massage_roller_s2,massage_roller,마사지 롤러,2,consensus,[다수 의견],1,36000,2,aToy,손에서 미끄러지지 않는 그립,HE,FRumH | aToy | yCjZ,곡면으로 다듬은 마감 | 손에서 미끄러지지 않는 그립 | 물세척 가능,HE | HE | UT,1,2,뭉친 곳을 눌러 주는 돌기 배열 | 가방에 들어가는 길이,262.40607450000243,1.477,263.89525529998355,268.9132412999752,3,0.8562,269.968895900005,0.814,270.7976558000082,274.8112448999891,구매하지 않는다,0,1.1153,3,1.0255,DEMO01,23,여,bt_speaker|windbreaker,2026-08-11_21h54.39,
,,17,main,chair_seat_s1,chair_seat,자세교정 방석,1,expert,[전문가],1,41000,2,GyUoV,오래 앉아도 눌리지 않는 푹신함,HE,YAhR | GyUoV | ECpm,커버 분리 세탁 가능 | 오래 앉아도 눌리지 않는 푹신함 | 골반을 세워 주는 경사 설계,UT | HE | UT,2,1,여름에도 덜 더운 메시 상판 | 미끄럼 방지 바닥 처리,277.06436859996757,0.59,277.66451019997476,282.68026150000514,1,1.1747,284.02432219998445,0.833,284.86344489996554,288.89659889996983,구매하지 않는다,0,1.0966,3,2.4313,DEMO01,23,여,bt_speaker|windbreaker,2026-08-11_21h54.39,
,,18,main,massage_roller_s3,massage_roller,마사지 롤러,3,gpt,[ChatGPT],2,31000,3,XXih,곡면으로 다듬은 마감,HE,ffRu | yVrF | XXih,뭉친 곳을 눌러 주는 돌기 배열 | 손에서 미끄러지지 않는 그립 | 곡면으로 다듬은 마감,UT | HE | HE,1,2,물세척 가능 | 가방에 들어가는 길이,292.620097099978,1.262,531.0465650999686,536.0499744999688,2,3506.8927,4043.4025177999865,0.606,4044.021619600011,4048.0536986999796,구매한다,1,0.8978,1,1.8418,DEMO01,23,여,bt_speaker|windbreaker,2026-08-11_21h54.39,
,,19,main,laptop_stand_s1,laptop_stand,노트북 거치대,1,ad,[광고],2,31000,2,AfmMW,책상에 어울리는 무광 마감,HE,obKps | AfmMW | VgonX,눈높이까지 올라가는 6단 조절 | 책상에 어울리는 무광 마감 | 15.6인치까지 대응,UT | HE | UT,2,1,접었을 때 손바닥만 한 두께 | 4kg까지 흔들리지 않는 지지,4052.4311884999624,1.069,4053.503146299976,4058.5039476999664,3,1.064,4059.6420667999773,0.855,4060.506380799983,4064.5217951000086,구매한다,1,1.2144,3,0.9306,DEMO01,23,여,bt_speaker|windbreaker,2026-08-11_21h54.39,
,,20,main,backpack_s1,backpack,백팩,1,expert,[전문가],1,44000,1,BtdAY,정장에도 어울리는 형태,HE,BtdAY | geVK | XAcey,정장에도 어울리는 형태 | 어깨를 파고들지 않는 넓은 끈 | 노트북 전용 칸,HE | HE | UT,1,2,네 가지 색상 구성 | 생활 방수 원단,4066.713612499996,0.66,4067.3877600000123,4072.38779790001,6,1.1654,4073.6165500999778,1.204,4074.8243029000005,4078.824520199967,구매하지 않는다,0,1.0152,3,0.8961,DEMO01,23,여,bt_speaker|windbreaker,2026-08-11_21h54.39,
,,21,main,keyboard_s2,keyboard,저소음 무선 키보드,2,consensus,[다수 의견],2,38000,1,VTfm,윈도우와 맥 양쪽 지원,UT,VTfm | vybK | uFzEh,윈도우와 맥 양쪽 지원 | 기기 세 대를 키 하나로 전환 | 도서관에서도 눈치 안 보이는 타건음,UT | UT | HE,2,1,손목이 편한 낮은 경사 | 두 가지 색을 섞은 키캡,4080.804945299984,1.428,4082.239699699974,4087.2405987000093,1,1.4785,4088.7957358999993,0.873,4089.672683199984,4093.674544999958,구매하지 않는다,0,0.7484,1,1.3447,DEMO01,23,여,bt_speaker|windbreaker,2026-08-11_21h54.39,
,,22,main,laptop_stand_s2,laptop_stand,노트북 거치대,2,gpt,[ChatGPT],1,37000,1,FIPY,책상에 어울리는 무광 마감,HE,FIPY | SRKeC | vHNp,책상에 어울리는 무광 마감 | 눈높이까지 올라가는 6단 조절 | 두 가지 색상 구성,HE | UT | HE,1,2,접었을 때 손바닥만 한 두께 | 4kg까지 흔들리지 않는 지지,4095.8164742999943,0.585,4096.406698599982,4101.428749399958,5,0.8818,4102.402176800009,0.556,4102.974337899999,4106.976760199992,구매하지 않는다,0,1.1305,5,1.0456,DEMO01,23,여,bt_speaker|windbreaker,2026-08-11_21h54.39,
,,23,main,backpack_s2,backpack,백팩,2,ad,[광고],2,40000,3,isCs,1박 짐까지 들어가는 28L,UT,GKzW | TYQCg | isCs,노트북 전용 칸 | 어깨를 파고들지 않는 넓은 끈 | 1박 짐까지 들어가는 28L,UT | HE | UT,2,1,생활 방수 원단 | 네 가지 색상 구성,4109.206093799963,1.018,4110.225576199999,4115.2415352999815,2,1.2979,4116.611941899988,1.011,4117.625057399971,4121.660628699989,구매한다,1,0.997,1,1.4639,DEMO01,23,여,bt_speaker|windbreaker,2026-08-11_21h54.39,
,,24,main,chair_seat_s3,chair_seat,자세교정 방석,3,expert,[전문가],1,34000,3,CCMlf,사무실에 무난한 무채색,HE,DUUw | QIXEg | CCMlf,여름에도 덜 더운 메시 상판 | 커버 분리 세탁 가능 | 사무실에 무난한 무채색,HE | UT | HE,1,2,오래 앉아도 눌리지 않는 푹신함 | 골반을 세워 주는 경사 설계,4124.154005199962,0.876,4125.046487000014,4130.061577599961,2,1.379,4131.517999499978,0.704,4132.227448999998,4136.241073699959,구매한다,1,0.8155,1,1.5773,DEMO01,23,여,bt_speaker|windbreaker,2026-08-11_21h54.39,
,,25,main,laptop_stand_s1,laptop_stand,노트북 거치대,1,peer,[가까운 지인],1,31000,2,AfmMW,책상에 어울리는 무광 마감,HE,obKps | AfmMW | VgonX,눈높이까지 올라가는 6단 조절 | 책상에 어울리는 무광 마감 | 15.6인치까지 대응,UT | HE | UT,2,1,접었을 때 손바닥만 한 두께 | 4kg까지 흔들리지 않는 지지,4138.678187199985,1.39,4140.078342399967,4145.093096799974,5,1.1442,4146.291254099982,0.752,4147.043867799977,4151.056381299975,구매하지 않는다,0,1.0479,7,1.2519,DEMO01,23,여,bt_speaker|windbreaker,2026-08-11_21h54.39,
,,26,main,massage_roller_s3,massage_roller,마사지 롤러,3,search,[검색엔진],1,31000,3,XXih,곡면으로 다듬은 마감,HE,ffRu | yVrF | XXih,뭉친 곳을 눌러 주는 돌기 배열 | 손에서 미끄러지지 않는 그립 | 곡면으로 다듬은 마감,UT | HE | HE,1,2,물세척 가능 | 가방에 들어가는 길이,4153.417414699972,0.62,4154.043570599984,4159.044802999997,7,1.531,4160.647363199969,0.865,4161.527274299995,4165.543764100003,구매한다,1,1.3347,3,0.9266,DEMO01,23,여,bt_speaker|windbreaker,2026-08-11_21h54.39,
,,27,main,keyboard_s1,keyboard,저소음 무선 키보드,1,ad,[광고],1,32000,1,rTSNa,두 가지 색을 섞은 키캡,HE,rTSNa | BnWrf | gEbq,두 가지 색을 섞은 키캡 | 건전지 하나로 12개월 | 윈도우와 맥 양쪽 지원,HE | UT | UT,2,1,도서관에서도 눈치 안 보이는 타건음 | 기기 세 대를 키 하나로 전환,4167.838322900003,1.067,4168.910717299965,4173.912052600004,5,1.13,4175.115260499995,0.996,4176.12918509997,4180.144753100001,구매하지 않는다,0,0.9625,2,0.9844,DEMO01,23,여,bt_speaker|windbreaker,2026-08-11_21h54.39,
,,28,main,backpack_s3,backpack,백팩,3,consensus,[다수 의견],1,47000,3,OnbK,어깨를 파고들지 않는 넓은 끈,HE,bIfY | gkGbB | OnbK,정장에도 어울리는 형태 | 1박 짐까지 들어가는 28L | 어깨를 파고들지 않는 넓은 끈,HE | UT | HE,1,2,생활 방수 원단 | 노트북 전용 칸,4182.12195989996,0.61,4182.7465385000105,4187.761623599974,6,1.1822,4188.982793300005,1.343,4190.347108099959,4194.3605540000135,구매하지 않는다,0,1.2318,5,1.0656,DEMO01,23,여,bt_speaker|windbreaker,2026-08-11_21h54.39,
,,29,main,keyboard_s2,keyboard,저소음 무선 키보드,2,search,[검색엔진],1,38000,1,VTfm,윈도우와 맥 양쪽 지원,UT,VTfm | vybK | uFzEh,윈도우와 맥 양쪽 지원 | 기기 세 대를 키 하나로 전환 | 도서관에서도 눈치 안 보이는 타건음,UT | UT | HE,2,1,손목이 편한 낮은 경사 | 두 가지 색을 섞은 키캡,4196.689229799958,1.203,4197.896724499995,4202.912566499959,5,0.9133,4203.900848899968,0.772,4204.680104099971,4208.680705200008,구매하지 않는다,0,0.8984,3,1.1483,DEMO01,23,여,bt_speaker|windbreaker,2026-08-11_21h54.39,
,,30,main,toothbrush_s1,toothbrush,전동 칫솔,1,search,[검색엔진],2,35000,3,AfPM,분당 31000회 진동,UT,cvHob | ytdEj | AfPM,손에 감기는 굴곡 손잡이 | 세기 5단계 조절 | 분당 31000회 진동,HE | UT | UT,2,1,잇몸을 부드럽게 훑는 미세모 | 칫솔모 3개월치 동봉,4210.763597799989,0.641,4211.414359399991,4216.431318799965,3,1.0634,4217.543568999972,1.34,4218.897399000009,4222.89782730001,구매한다,1,1.1967,4,0.9677,DEMO01,23,여,bt_speaker|windbreaker,2026-08-11_21h54.39,
,,31,main,chair_seat_s2,chair_seat,자세교정 방석,2,gpt,[ChatGPT],1,39000,3,yhHDM,여름에도 덜 더운 메시 상판,HE,ZDWIZ | gaPAU | yhHDM,골반을 세워 주는 경사 설계 | 커버 분리 세탁 가능 | 여름에도 덜 더운 메시 상판,UT | UT | HE,2,1,사무실에 무난한 무채색 | 미끄럼 방지 바닥 처리,4225.090596099966,0.772,4225.863759999978,4230.865110899962,5,1.0281,4231.935591699963,1.408,4233.371078700002,4237.382198499981,구매한다,1,1.3157,2,1.0969,DEMO01,23,여,bt_speaker|windbreaker,2026-08-11_21h54.39,
,,32,main,massage_roller_s1,massage_roller,마사지 롤러,1,gpt,[ChatGPT],2,36000,2,kTEB,곡면으로 다듬은 마감,HE,eRSn | kTEB | dJkxv,손에서 미끄러지지 않는 그립 | 곡면으로 다듬은 마감 | 뭉친 곳을 눌러 주는 돌기 배열,HE | HE | UT,1,2,물세척 가능 | 가방에 들어가는 길이,4239.823984699964,0.731,4240.564593799994,4245.581857100013,4,0.8103,4246.431350399973,0.778,4247.216267899959,4251.231757099973,구매하지 않는다,0,0.9663,1,1.2295,DEMO01,23,여,bt_speaker|windbreaker,2026-08-11_21h54.39,
,,33,main,massage_roller_s2,massage_roller,마사지 롤러,2,expert,[전문가],2,36000,2,aToy,손에서 미끄러지지 않는 그립,HE,FRumH | aToy | yCjZ,곡면으로 다듬은 마감 | 손에서 미끄러지지 않는 그립 | 물세척 가능,HE | HE | UT,1,2,뭉친 곳을 눌러 주는 돌기 배열 | 가방에 들어가는 길이,4253.473639299977,1.019,4254.499640299997,4259.499693699996,3,0.9652,4260.503981999995,1.016,4261.532563899993,4265.5338338,구매하지 않는다,0,1.3633,6,0.9504,DEMO01,23,여,bt_speaker|windbreaker,2026-08-11_21h54.39,
,,34,main,backpack_s2,backpack,백팩,2,peer,[가까운 지인],1,40000,3,isCs,1박 짐까지 들어가는 28L,UT,GKzW | TYQCg | isCs,노트북 전용 칸 | 어깨를 파고들지 않는 넓은 끈 | 1박 짐까지 들어가는 28L,UT | HE | UT,2,1,생활 방수 원단 | 네 가지 색상 구성,4267.876716599974,1.404,4269.284518899978,4274.285112000012,3,0.9298,4275.253396699962,1.416,4276.685284800013,4280.700128600001,구매한다,1,1.1828,3,0.881,DEMO01,23,여,bt_speaker|windbreaker,2026-08-11_21h54.39,
,,35,main,toothbrush_s2,toothbrush,전동 칫솔,2,gpt,[ChatGPT],1,35000,2,lNDKP,손에 감기는 굴곡 손잡이,HE,sDVw | lNDKP | aQiL,세기 5단계 조절 | 손에 감기는 굴곡 손잡이 | 분당 31000회 진동,UT | HE | UT,2,1,잇몸을 부드럽게 훑는 미세모 | 칫솔모 3개월치 동봉,4282.790948799986,1.197,4284.001598300005,4289.001891199965,2,1.014,4290.054485899978,1.307,4291.369366900006,4295.396646199981,구매하지 않는다,0,1.1548,5,0.8639,DEMO01,23,여,bt_speaker|windbreaker,2026-08-11_21h54.39,
,,36,main,laptop_stand_s3,laptop_stand,노트북 거치대,3,ad,[광고],1,34000,2,QsmmN,두 가지 색상 구성,HE,HzqNU | QsmmN | muhKq,15.6인치까지 대응 | 두 가지 색상 구성 | 접었을 때 손바닥만 한 두께,UT | HE | HE,1,2,눈높이까지 올라가는 6단 조절 | 책상에 어울리는 무광 마감,4297.443552099983,0.713,4298.169361900014,4303.186009199999,2,1.2627,4304.487413599971,1.16,4305.651744399976,4309.668180599983,구매한다,1,0.8673,6,1.1288,DEMO01,23,여,bt_speaker|windbreaker,2026-08-11_21h54.39,
