participant_id,timestamp,trial_number,block,set_key,category_code,category_kr,set_id,source_code,source_label,repetition,rec_brand,rec_rank,price,priming,display_order,detail_lines,fix1_dur,info_accept,info_accept_rt,fix2_dur,purchase_choice,purchase_choice_bin,purchase_choice_rt,purchase_intent,purchase_intent_rt
GPTC001,2026-08-11T19:22:46.364,1,practice,backpack_s1,backpack,백팩,1,practice,[예시 정보원],1,nBbVe,2,34000,UT,0-1-2,어깨를 파고들지 않는 넓은 끈 | 2년 봉제 보증 | 생활 방수 원단,0.731,6,5.108,0.685,산다,1,7.1369,6,5.4315
GPTC001,2026-08-11T19:26:31.920,10,main,windbreaker_s2,windbreaker,바람막이,2,peer,[가까운 지인],1,Buezp,1,43000,UT,2-1-0,목까지 올라오는 깃 | 야간용 반사 테이프 | 세탁기 사용 가능,0.532,7,1.3117,0.595,산다,1,1.0719,6,2.3241
GPTC001,2026-08-11T19:26:50.796,11,main,keyboard_s2,keyboard,저소음 무선 키보드,2,peer,[가까운 지인],2,nqJy,1,41000,HE,2-0-1,한 번 충전에 3개월 | 손목이 편한 낮은 경사 | 두 가지 색을 섞은 키캡,1.251,7,1.6233,0.585,안 산다,0,2.3671,2,3.0405
GPTC001,2026-08-11T19:27:06.546,12,main,bt_speaker_s1,bt_speaker,블루투스 스피커,1,consensus,[다수 의견],2,zfVg,2,36900,HE,1-2-0,저음이 두껍게 깔리는 소리 | 네 가지 색상 구성 | 손에 감기는 원통 형태,1.475,6,1.7994,0.557,산다,1,0.8359,5,1.0959
GPTC001,2026-08-11T19:27:22.382,13,main,toothbrush_s1,toothbrush,전동 칫솔,1,gpt,[ChatGPT],2,PGZiV,1,33000,HE,2-0-1,세기 5단계 조절 | 물때가 덜 보이는 무광 마감 | 손에 감기는 굴곡 손잡이,1.435,7,1.6329,0.627,산다,1,0.9359,6,1.1798
GPTC001,2026-08-11T19:27:38.090,14,main,laptop_stand_s3,laptop_stand,노트북 거치대,3,peer,[가까운 지인],1,LpceQ,2,45000,HE,2-1-0,두 축으로 버티는 삼각 구조 | 책상에 어울리는 무광 마감 | 두 가지 색상 구성,0.556,7,1.8839,1.297,안 산다,0,0.8198,2,1.1464
GPTC001,2026-08-11T19:27:55.401,15,main,chair_seat_s3,chair_seat,자세교정 방석,3,search,[검색엔진],2,qsGIF,1,48000,HE,0-2-1,등받이 없이도 허리가 서는 각도 | 겉면 니트 마감 | 사무실에 무난한 무채색,1.136,7,1.3215,1.343,안 산다,0,1.3658,2,2.1771
GPTC001,2026-08-11T19:28:18.076,16,main,toothbrush_s3,toothbrush,전동 칫솔,3,ad,[광고],1,tIlj,3,46000,HE,1-2-0,끝을 둥글게 다듬은 미세모 | 물때가 덜 보이는 무광 마감 | 손에 감기는 굴곡 손잡이,1.06,7,6.6793,1.412,산다,1,1.4858,7,2.0249
GPTC001,2026-08-11T19:28:39.768,17,main,keyboard_s3,keyboard,저소음 무선 키보드,3,search,[검색엔진],1,GQikf,2,47000,UT,2-1-0,절전 모드로 늘어나는 사용 기간 | 윈도우·맥 양쪽 지원 | 키캡 교체 부품 동봉,0.588,6,4.8072,0.969,산다,1,1.134,6,4.2061
GPTC001,2026-08-11T19:28:54.794,18,main,chair_seat_s2,chair_seat,자세교정 방석,2,peer,[가까운 지인],1,Sevwf,3,41000,UT,1-2-0,꼬리뼈에 힘이 안 실리는 홈 구조 | 커버 분리 세탁 가능 | 미끄럼 방지 바닥 처리,0.684,6,1.0664,0.81,산다,1,0.9714,6,1.4826
GPTC001,2026-08-11T19:29:12.383,19,main,bt_speaker_s2,bt_speaker,블루투스 스피커,2,consensus,[다수 의견],1,sitZ,2,42900,UT,2-1-0,야외에서도 또렷한 중고음 | 유선 입력 단자 지원 | 생활 방수 IPX7 등급,1.159,6,1.3644,0.651,안 산다,0,0.7051,6,1.2772
GPTC001,2026-08-11T19:29:27.843,20,main,laptop_stand_s2,laptop_stand,노트북 거치대,2,consensus,[다수 의견],1,IwNXH,3,38000,HE,2-1-0,목이 덜 숙여지는 각도 고정 | 두 가지 색상 구성 | 접었을 때 얇은 두께,1.081,3,1.1395,0.549,안 산다,0,1.1114,4,1.5719
GPTC001,2026-08-11T19:29:42.547,21,main,windbreaker_s1,windbreaker,바람막이,1,ad,[광고],1,vYXp,1,36000,UT,1-2-0,안감을 덧댄 환절기 보온 | 야간용 반사 테이프 | 세탁기 사용 가능,1.341,4,0.8741,0.835,산다,1,0.7688,4,0.9075
GPTC001,2026-08-11T19:29:56.491,22,main,keyboard_s2,keyboard,저소음 무선 키보드,2,expert,[전문가],1,nqJy,1,41000,HE,2-0-1,한 번 충전에 3개월 | 손목이 편한 낮은 경사 | 두 가지 색을 섞은 키캡,1.174,4,0.4225,1.409,산다,1,0.4164,4,0.5789
GPTC001,2026-08-11T19:30:14.542,23,main,toothbrush_s2,toothbrush,전동 칫솔,2,expert,[전문가],1,AdQqZ,3,39000,UT,2-1-0,치아 사이까지 파고드는 모 배열 | 여행용 케이스 포함 | 1년 무상 A/S,0.966,4,0.4397,1.384,산다,1,1.0511,4,4.1879
GPTC001,2026-08-11T19:30:28.490,24,main,keyboard_s1,keyboard,저소음 무선 키보드,1,ad,[광고],1,xLmI,2,34000,UT,1-2-0,도서관에서도 눈치 안 보이는 타건음 | 키캡 교체 부품 동봉 | 윈도우·맥 양쪽 지원,0.919,4,0.7015,1.021,산다,1,0.5959,4,0.755
GPTC001,2026-08-11T19:30:45.235,25,main,bt_speaker_s2,bt_speaker,블루투스 스피커,2,peer,[가까운 지인],2,sitZ,2,42900,UT,2-1-0,야외에서도 또렷한 중고음 | 유선 입력 단자 지원 | 생활 방수 IPX7 등급,0.992,4,0.6962,1.049,산다,1,0.6678,4,3.3408
GPTC001,2026-08-11T19:30:59.780,26,main,chair_seat_s1,chair_seat,자세교정 방석,1,consensus,[다수 의견],2,jrQKl,3,35000,UT,1-2-0,오래 앉아도 눌리지 않는 고밀도 폼 | 커버 분리 세탁 가능 | 2년 형태 보증,1.483,4,0.5183,0.982,산다,1,0.5868,4,0.9897
GPTC001,2026-08-11T19:31:14.758,27,main,chair_seat_s2,chair_seat,자세교정 방석,2,expert,[전문가],2,Sevwf,3,41000,UT,1-2-0,꼬리뼈에 힘이 안 실리는 홈 구조 | 커버 분리 세탁 가능 | 미끄럼 방지 바닥 처리,1.219,4,0.5691,0.778,산다,1,1.0157,4,1.4214
GPTC001,2026-08-11T19:31:28.551,28,main,toothbrush_s3,toothbrush,전동 칫솔,3,peer,[가까운 지인],2,tIlj,3,46000,HE,1-2-0,끝을 둥글게 다듬은 미세모 | 물때가 덜 보이는 무광 마감 | 손에 감기는 굴곡 손잡이,0.927,4,0.5034,0.802,산다,1,0.6593,4,0.9351
GPTC001,2026-08-11T19:31:41.884,29,main,toothbrush_s1,toothbrush,전동 칫솔,1,search,[검색엔진],1,PGZiV,1,33000,HE,2-0-1,세기 5단계 조절 | 물때가 덜 보이는 무광 마감 | 손에 감기는 굴곡 손잡이,1.007,4,0.5889,0.579,산다,1,0.5825,4,0.6012
GPTC001,2026-08-11T19:31:55.075,30,main,bt_speaker_s3,bt_speaker,블루투스 스피커,3,gpt,[ChatGPT],1,PyeWz,3,48900,HE,1-0-2,앱 없이 끝나는 초기 설정 | 겉면 패브릭 마감 | 손에 감기는 원통 형태,0.557,4,0.4146,1.057,산다,1,0.5324,4,0.6671
GPTC001,2026-08-11T19:32:08.628,31,main,laptop_stand_s3,laptop_stand,노트북 거치대,3,ad,[광고],2,LpceQ,2,45000,HE,2-1-0,두 축으로 버티는 삼각 구조 | 책상에 어울리는 무광 마감 | 두 가지 색상 구성,1.346,4,0.4273,0.674,산다,1,0.474,4,0.662
GPTC001,2026-08-11T19:32:21.816,32,main,keyboard_s3,keyboard,저소음 무선 키보드,3,gpt,[ChatGPT],2,GQikf,2,47000,UT,2-1-0,절전 모드로 늘어나는 사용 기간 | 윈도우·맥 양쪽 지원 | 키캡 교체 부품 동봉,0.98,4,0.4276,0.756,산다,1,0.4887,4,0.5716
GPTC001,2026-08-11T19:32:34.984,33,main,windbreaker_s3,windbreaker,바람막이,3,gpt,[ChatGPT],1,tcoU,2,49000,HE,2-1-0,접어서 손바닥에 들어가는 부피 | 로고 없는 앞면 | 도심에서 입기 좋은 실루엣,1.081,4,0.5491,0.533,산다,1,0.4174,4,0.6136
GPTC001,2026-08-11T19:32:48.473,34,main,bt_speaker_s1,bt_speaker,블루투스 스피커,1,expert,[전문가],1,zfVg,2,36900,HE,1-2-0,저음이 두껍게 깔리는 소리 | 네 가지 색상 구성 | 손에 감기는 원통 형태,1.073,4,0.4571,1.012,산다,1,0.4209,4,0.5359
GPTC001,2026-08-11T19:33:01.646,35,main,laptop_stand_s2,laptop_stand,노트북 거치대,2,search,[검색엔진],2,IwNXH,3,38000,HE,2-1-0,목이 덜 숙여지는 각도 고정 | 두 가지 색상 구성 | 접었을 때 얇은 두께,1.035,4,0.5127,0.584,산다,1,0.4654,4,0.6033
GPTC001,2026-08-11T19:33:15.678,36,main,toothbrush_s2,toothbrush,전동 칫솔,2,gpt,[ChatGPT],2,AdQqZ,3,39000,UT,2-1-0,치아 사이까지 파고드는 모 배열 | 여행용 케이스 포함 | 1년 무상 A/S,1.488,4,0.4449,0.9,산다,1,0.6992,4,0.5532
